Type
0
Weather
sunny
Time of day
noon
Leaderboard
20
Lewis Hamilton: 2.13632, average pace
Valtteri Bottas: 2.03728, average pace
Sebastian Vettel: 2.00937, average pace
Charles Leclerc: 1.95125, average pace
Max Verstappen: 1.83065, average pace
Kimi Raikkonen: 1.53451, average pace
Pierre Gasly: 1.47731, average pace
Romain Grosjean: 1.41418, average pace
Nico Hulkenberg: 1.37907, average pace
Daniil Kvyat: 1.37042, average pace
Sergio Perez: 1.36965, average pace
Daniel Ricciardo: 1.36865, average pace
Carlos Sainz: 1.36212, average pace
Lando Norris: 1.3428, average pace
Antonio Giovinazzi: 1.29845, average pace
Kevin Magnussen: 1.28774, average pace, made minor mistakes
Lance Stroll: 1.25162, average pace
Robert Kubica: 1.18901, average pace
George Russell: 1.17585, average pace
Alexander Albon: 1.09055, average pace,made a major mistake
