Type
2
Weather
sunny
Time of day
noon
Leaderboard
20
Lewis Hamilton: 2.1196, average pace
Valtteri Bottas: 2.0557, average pace
Sebastian Vettel: 1.79423, average pace, made minor mistakes
Charles Leclerc: 1.57359, weak pace, made minor mistakes
Kimi Raikkonen: 1.20597, weak pace
Lando Norris: 1.17429, average pace
Pierre Gasly: 1.12335, average pace
Sergio Perez: 0.95348, average pace
Daniel Ricciardo: 0.91569, average pace
Lance Stroll: 0.82845, strong pace
Carlos Sainz: 0.80925, average pace
Romain Grosjean: 0.7609, average pace,had minor mechanical issues
Nico Hulkenberg: 0.61306, average pace
Alexander Albon: 0.559, weak pace
George Russell: 0.54644, average pace
Daniil Kvyat: 0.49523, average pace
Kevin Magnussen: 0.46143, average pace
Robert Kubica: 0.34542, average pace
Antonio Giovinazzi: 0.26237, average pace, made minor mistakes
Max Verstappen: -0.2, average pace,crashed,had major mechanical issues
