Type
1
Weather
sunny
Time of day
noon
Leaderboard
20
Lewis Hamilton: 2.1628, average pace
Sebastian Vettel: 2.0679, average pace
Valtteri Bottas: 2.02574, strong pace, made minor mistakes
Max Verstappen: 2.02158, strong pace
Charles Leclerc: 1.8362, average pace
Pierre Gasly: 1.60657, strong pace
Lando Norris: 1.51035, strong pace
Romain Grosjean: 1.46961, strong pace
Kimi Raikkonen: 1.46786, average pace, made minor mistakes
Sergio Perez: 1.442, strong pace
Alexander Albon: 1.42868, strong pace, made minor mistakes
Daniel Ricciardo: 1.40794, average pace
Carlos Sainz: 1.37035, average pace
Lance Stroll: 1.34092, average pace
George Russell: 1.3346, strong pace
Nico Hulkenberg: 1.28318, weak pace
Daniil Kvyat: 1.27871, average pace
Robert Kubica: 1.2523, strong pace
Kevin Magnussen: 1.24074, weak pace
Antonio Giovinazzi: 1.1479, weak pace
